,Location,Time (s),Distance (m),Elevation (m),Descent (m),Ave Speed (km/h),Cum. Time (min),Cum. Dist (km),Cum. Elev (m)
0,Rangiora,0,0,0,,,0.0,0.0,0
1,Kaiapoi,1642,11259,8,36.0,24.68477466504263,27.366666666666667,11.259,8
2,Redwood,1702,12999,40,33.0,27.494947121034077,55.733333333333334,24.258,48
3,Northlink,450,2944,7,2.0,23.552000000000003,63.233333333333334,27.202,55
4,Merivale,449,2815,0,5.0,22.570155902004455,70.71666666666667,30.017,55
5,The palms,783,4276,3,9.0,19.65977011494253,83.76666666666667,34.293,58
6,The crossing,654,4613,11,8.0,25.392660550458718,94.66666666666667,38.906,69
7,Riccarton,457,3565,7,4.0,28.083150984682714,102.28333333333333,42.471,76
8,Bush inn,271,2164,7,0.0,28.746863468634686,106.8,44.635,83
9,Rolleston,2241,18970,52,17.0,30.473895582329316,144.15,63.605,135
10,Lincoln,1729,10530,4,43.0,21.924812030075188,172.96666666666667,74.135,139
11,Addington,3113,19043,44,45.0,22.02210086733055,224.85,93.178,183
12,Beckenham,504,3034,2,7.0,21.67142857142857,233.25,96.212,185
13,Sumner,2315,12789,33,37.0,19.887861771058315,271.8333333333333,109.001,218
14,Lyttelton,1966,9438,334,317.0,17.282197355035606,304.6,118.439,552
